outcome,participant_code,effect,post_mean,post_sd,prior_sd,bits
Quality,A16,Intercept (baseline bias),1.1738707643907653,0.15496530517504623,0.6790910949266368,3.6032808882830283
Quality,A21,Intercept (baseline bias),0.9891713435052978,0.15334876869589645,0.6790910949266368,2.992717797427563
Quality,A38,Intercept (baseline bias),0.33548332157373817,0.15478204414252264,0.6790910949266368,1.6255411330900147
Quality,A4,Intercept (baseline bias),-0.023917039404690168,0.15005130343027778,0.6790910949266368,1.4929147657265711
Quality,A47,Intercept (baseline bias),-0.538722456205582,0.16008108611562816,0.6790910949266368,1.8574995891764325
Quality,A57,Intercept (baseline bias),-0.3388393353657759,0.14790000068713993,0.6790910949266368,1.6914386909063288
Quality,A9,Intercept (baseline bias),0.12989190113154803,0.15089997727727866,0.6790910949266368,1.510673586715793
Quality,B14,Intercept (baseline bias),-0.027914742043862045,0.15618118865289557,0.6790910949266368,1.4384102747913168
Quality,B54,Intercept (baseline bias),0.2540423740518392,0.1542142123408369,0.6790910949266368,1.555470093954543
Quality,C18,Intercept (baseline bias),0.12759774732984616,0.15047138501446533,0.6790910949266368,1.5136509818140396
Quality,C25,Intercept (baseline bias),0.855604646487113,0.15442358661795744,0.6790910949266368,2.5977421915627708
Quality,C39,Intercept (baseline bias),-0.9649847460849317,0.15014736098712425,0.6790910949266368,2.9477051702272292
Quality,C45,Intercept (baseline bias),-0.8669325429696518,0.15388225510298764,0.6790910949266368,2.6330689182942004
Quality,C48,Intercept (baseline bias),0.15021145245268902,0.15374201005744384,0.6790910949266368,1.4940116986302103
Quality,D41,Intercept (baseline bias),-0.5077446717862113,0.1419043657805524,0.6790910949266368,1.9720909002624432
Quality,D42,Intercept (baseline bias),-0.18840112245682494,0.15464741151660324,0.6790910949266368,1.5062044735866076
Quality,E30,Intercept (baseline bias),0.5071212120001869,0.15546117698429227,0.6790910949266368,1.8457715760797526
Quality,E33,Intercept (baseline bias),0.5333586495396622,0.15407852363482286,0.6790910949266368,1.9006922284650876
Quality,F17,Intercept (baseline bias),0.3400952132863004,0.1483634599717125,0.6790910949266368,1.6884734213403632
Quality,G36,Intercept (baseline bias),1.257306572428494,0.1527437941705067,0.6790910949266368,3.9403340056941665
Quality,G50,Intercept (baseline bias),0.7096610615198283,0.1549988839294644,0.6790910949266368,2.23533245261868
Quality,H51,Intercept (baseline bias),0.45989356709096935,0.15074682482170232,0.6790910949266368,1.8165041664928003
Quality,I1,Intercept (baseline bias),1.100013357684278,0.15515296029277958,0.6790910949266368,3.3389315181101393
Quality,I19,Intercept (baseline bias),-0.4199098726452813,0.1474767802502419,0.6790910949266368,1.791593935923552
Quality,I49,Intercept (baseline bias),-0.36269069606644283,0.1504120748488401,0.6790910949266368,1.6944851963753014
Quality,J13,Intercept (baseline bias),-0.7544324761043112,0.15440509451544415,0.6790910949266368,2.3431142413011634
Quality,J29,Intercept (baseline bias),1.0281434957344584,0.15053495884603044,0.6790910949266368,3.1410732448030187
Quality,J34,Intercept (baseline bias),-0.1442050835881733,0.15489967444651953,0.6790910949266368,1.4809818448072654
Quality,J43,Intercept (baseline bias),-0.710270912450076,0.15601274138130355,0.6790910949266368,2.2277741465259764
Quality,J52,Intercept (baseline bias),0.5822800567187305,0.15081714305440824,0.6790910949266368,2.0153733117584287
Quality,K31,Intercept (baseline bias),-1.4736048734182325,0.15495616243214164,0.6790910949266368,4.844604003535198
Quality,K52,Intercept (baseline bias),0.37720003621459847,0.1567874565997368,0.6790910949266368,1.6544509719159246
Quality,L15,Intercept (baseline bias),0.12758534253423504,0.14928730845274435,0.6790910949266368,1.5244884786294843
Quality,L37,Intercept (baseline bias),-0.356680044008674,0.15182275315639007,0.6790910949266368,1.6749211019642412
Quality,L56,Intercept (baseline bias),-0.807183022543269,0.15281028754639273,0.6790910949266368,2.486178071432582
Quality,L8,Intercept (baseline bias),1.023125158386872,0.15435621691953144,0.6790910949266368,3.090628933244445
Quality,M23,Intercept (baseline bias),-0.26990085012954623,0.1555358994716189,0.6790910949266368,1.5567953125061549
Quality,M24,Intercept (baseline bias),0.17799987547872906,0.15390631783584047,0.6790910949266368,1.5068158693931673
