outcome,participant_code,effect,post_mean,post_sd,prior_sd,bits
Realism,A16,Intercept (baseline bias),1.942748333159003,0.1462073592167395,0.8356043863263639,5.71474709014819
Realism,A21,Intercept (baseline bias),0.3798405970527466,0.14497202156078937,0.8356043863263639,1.9764654013482512
Realism,A38,Intercept (baseline bias),0.5048368643264047,0.15191680811503516,0.8356043863263639,2.0253303048057982
Realism,A4,Intercept (baseline bias),1.0783888035124256,0.14778360381607694,0.8356043863263639,3.001966511406622
Realism,A47,Intercept (baseline bias),-1.1781637607759925,0.151947811254276,0.8356043863263639,3.1957665153860355
Realism,A57,Intercept (baseline bias),-1.3846627454415141,0.15039919790058526,0.8356043863263639,3.7568010637209652
Realism,A9,Intercept (baseline bias),-0.7278345999256439,0.14793052529835168,0.8356043863263639,2.3464392473700064
Realism,B14,Intercept (baseline bias),0.050509387116974704,0.14908230882794993,0.8356043863263639,1.7909603654503974
Realism,B54,Intercept (baseline bias),0.37989840176453354,0.15228689107856808,0.8356043863263639,1.9077398977792097
Realism,C18,Intercept (baseline bias),-0.23687878058785228,0.1496410081714129,0.8356043863263639,1.841069566126711
Realism,C25,Intercept (baseline bias),1.6110987789426727,0.14863866712147225,0.8356043863263639,4.474047487765619
Realism,C39,Intercept (baseline bias),-0.07033743696867108,0.1465503627780431,0.8356043863263639,1.817375063812274
Realism,C45,Intercept (baseline bias),-1.5484924397597364,0.14676099765576878,0.8356043863263639,4.287456994947839
Realism,C48,Intercept (baseline bias),0.6276901111574852,0.14755298546989593,0.8356043863263639,2.209768823892954
Realism,D41,Intercept (baseline bias),-0.11311592067899538,0.14935651142370915,0.8356043863263639,1.7989769474135213
Realism,D42,Intercept (baseline bias),0.6264979595787721,0.15094531955799279,0.8356043863263639,2.1764773617117545
Realism,E30,Intercept (baseline bias),0.33857568379154446,0.15052341701682095,0.8356043863263639,1.893319965790708
Realism,E33,Intercept (baseline bias),-0.1943602125885408,0.14885811048882577,0.8356043863263639,1.8294532904119238
Realism,F17,Intercept (baseline bias),0.7502547921250251,0.15070929222716575,0.8356043863263639,2.354683988276735
Realism,G36,Intercept (baseline bias),0.011790334893676329,0.14570964543149256,0.8356043863263639,1.8204538722788064
Realism,G50,Intercept (baseline bias),0.7079016579268881,0.1479146740836158,0.8356043863263639,2.317023230283434
Realism,H51,Intercept (baseline bias),0.5446638105302128,0.14734581572910674,0.8356043863263639,2.111174513378615
Realism,I1,Intercept (baseline bias),0.5826260134955661,0.14845401553021384,0.8356043863263639,2.144914121529183
Realism,I19,Intercept (baseline bias),-0.5649392765232013,0.14996960812232263,0.8356043863263639,2.109758793582048
Realism,I49,Intercept (baseline bias),-0.2756076190215698,0.14646758655036862,0.8356043863263639,1.8915279524238864
Realism,J13,Intercept (baseline bias),-0.6455479750878551,0.14562428177681438,0.8356043863263639,2.251656789995431
Realism,J29,Intercept (baseline bias),0.9576409654176259,0.15186455829114218,0.8356043863263639,2.709946692511285
Realism,J34,Intercept (baseline bias),-0.15369247741120706,0.14838358409289476,0.8356043863263639,1.8192908530982774
Realism,J43,Intercept (baseline bias),-0.3181214627109171,0.1498015987233425,0.8356043863263639,1.8861540748820116
Realism,J52,Intercept (baseline bias),0.13328588379552198,0.14976010139546628,0.8356043863263639,1.8003429111141824
Realism,K31,Intercept (baseline bias),-1.0983527404025233,0.1489948341996292,0.8356043863263639,3.035456594813563
Realism,K52,Intercept (baseline bias),-0.4010802025116961,0.1452632666713124,0.8356043863263639,1.9907927899163966
Realism,L15,Intercept (baseline bias),-0.1933333301915956,0.14969848756524567,0.8356043863263639,1.8211793846512088
Realism,L37,Intercept (baseline bias),-0.2767143847852851,0.14726007933696103,0.8356043863263639,1.8846150067201253
Realism,L56,Intercept (baseline bias),-0.8535352709307574,0.14974365025292163,0.8356043863263639,2.5347809935093832
Realism,L8,Intercept (baseline bias),1.73655744522667,0.14923033617049833,0.8356043863263639,4.90239318413285
Realism,M23,Intercept (baseline bias),-0.31938058723220253,0.15487570361873146,0.8356043863263639,1.8405226627919011
Realism,M24,Intercept (baseline bias),-0.19378551650561998,0.15065340649572193,0.8356043863263639,1.8124828855169834
Realism,M5,Intercept (baseline bias),-0.2375158362993268,0.14732117472452433,0.8356043863263639,1.863210863635441
Realism,M56,Intercept (baseline bias),-0.9752402012735986,0.14667304137954085,0.8356043863263639,2.7936702798733304
Realism,N10,Intercept (baseline bias),-1.3406383719820594,0.14485629509657336,0.8356043863263639,3.6853335905218625
Realism,N22,Intercept (baseline bias),1.4446051725564757,0.1477783563564255,0.8356043863263639,3.9565626315645743
Realism,N44,Intercept (baseline bias),-1.4688374807137028,0.1469440352237077,0.8356043863263639,4.0374131976833505
Realism,N58,Intercept (baseline bias),-0.19654507472642874,0.14920399113342853,0.8356043863263639,1.8270938435032769
Realism,O12,Intercept (baseline bias),0.2574451029310169,0.14857241098379617,0.8356043863263639,1.8615826489265432
Realism,R20,Intercept (baseline bias),-0.5220052365313862,0.15170564290606767,0.8356043863263639,2.045483583163774
Realism,S11,Intercept (baseline bias),0.5853699036800095,0.14835776787221763,0.8356043863263639,2.149131197743966
Realism,S2,Intercept (baseline bias),-0.19261478202949867,0.14802729137766385,0.8356043863263639,1.8365753138109746
Realism,S28,Intercept (baseline bias),-0.8094717765949742,0.14734119714671856,0.8356043863263639,2.4816740611095365
Realism,S38,Intercept (baseline bias),-0.27858071930285333,0.14609036886475069,0.8356043863263639,1.8968364987949111
Realism,S46,Intercept (baseline bias),-0.19445004271882796,0.14386180849806374,0.8356043863263639,1.877232627310871
Realism,S5,Intercept (baseline bias),0.5037976208077154,0.1486184375263017,0.8356043863263639,2.0548916922660454
Realism,S6,Intercept (baseline bias),0.8324731293446654,0.14600000697567814,0.8356043863263639,2.533477151689238
Realism,T26,Intercept (baseline bias),-0.028985539237367665,0.14739883994128408,0.8356043863263639,1.8050609489849154
Realism,T3,Intercept (baseline bias),-0.031098888912075965,0.14764532073240919,0.8356043863263639,1.8028567973811669
Realism,T32,Intercept (baseline bias),0.3392068844897258,0.1462056707437167,0.8356043863263639,1.9344270096672245
Realism,T35,Intercept (baseline bias),-0.359866799329515,0.15080858777721576,0.8356043863263639,1.9060409656466357
Realism,A16,Avatar slope (fidelity sensitivity),0.03873476348863352,0.2371276430752798,1.0743329958152494,1.4944380375184538
Realism,A21,Avatar slope (fidelity sensitivity),-1.5650330679292783,0.23111870945599772,1.0743329958152494,3.0595550693618296
Realism,A38,Avatar slope (fidelity sensitivity),0.11411336426527269,0.23985501614268254,1.0743329958152494,1.485953027382613
Realism,A4,Avatar slope (fidelity sensitivity),0.4421344140334664,0.24300171379739602,1.0743329958152494,1.582133368097281
Realism,A47,Avatar slope (fidelity sensitivity),0.35276582386760147,0.2433932030909729,1.0743329958152494,1.5355318981258166
Realism,A57,Avatar slope (fidelity sensitivity),0.11945701233417388,0.24299582478835494,1.0743329958152494,1.4689119728968187
Realism,A9,Avatar slope (fidelity sensitivity),-0.5189215710119662,0.24964466320932205,1.0743329958152494,1.591390679203996
Realism,B14,Avatar slope (fidelity sensitivity),1.331888760908263,0.24109806911708173,1.0743329958152494,2.579401608260395
Realism,B54,Avatar slope (fidelity sensitivity),-1.7294537842672177,0.24864311103374695,1.0743329958152494,3.297908023511925
Realism,C18,Avatar slope (fidelity sensitivity),0.9298060666486866,0.243325937935671,1.0743329958152494,1.9984557796223754
Realism,C25,Avatar slope (fidelity sensitivity),0.6690616443156329,0.24407586544070278,1.0743329958152494,1.7336927722658833
