participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_source,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,room_realism_rating,space_realism_rating,eye_contact_percentage,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic,pref_room_realistic,pref_space_realistic,pref_eye_contact
A16,21,female,5,5,3,2,3,2,sync,experimenter,negative,3,5,2,5,5,3,5,5,75,1,1,1,1,1,1,1,1,1
A16,21,female,5,5,3,2,3,2,sync,experimenter,positive,5,5,5,5,5,4,5,5,75,1,1,1,1,1,1,1,1,1
A16,21,female,5,5,3,2,3,2,sync,participant,negative,4,5,5,5,5,3,5,5,75,1,1,1,1,1,1,1,1,1
A16,21,female,5,5,3,2,3,2,sync,participant,positive,5,5,5,5,5,3,5,5,75,1,1,1,1,1,1,1,1,1
A16,21,female,5,5,3,2,3,2,unreal,participant,negative,5,5,5,5,5,5,5,5,100,1,1,1,1,1,1,1,1,1
A16,21,female,5,5,3,2,3,2,unreal,participant,positive,5,5,5,5,5,5,5,5,100,1,1,1,1,1,1,1,1,1
A21,18,female,5,5,5,2,1,1,sync,experimenter,negative,5,5,4,4,4,4,4,4,47,2,2,2,2,2,2,2,2,3
A21,18,female,5,5,5,2,1,1,sync,experimenter,positive,5,5,4,4,4,4,4,4,44,2,2,2,2,2,2,2,2,3
A21,18,female,5,5,5,2,1,1,sync,participant,negative,5,5,5,4,3,3,4,4,40,2,2,2,2,2,2,2,2,3
A21,18,female,5,5,5,2,1,1,sync,participant,positive,5,4,4,4,3,3,4,3,40,2,2,2,2,2,2,2,2,3
A21,18,female,5,5,5,2,1,1,unreal,participant,negative,4,4,4,3,2,3,3,4,20,2,2,2,2,2,2,2,2,3
A21,18,female,5,5,5,2,1,1,unreal,participant,positive,5,4,4,3,2,2,2,3,26,2,2,2,2,2,2,2,2,3
A38,19,female,5,5,5,2,5,2,sync,experimenter,negative,4,4,4,4,2,3,4,4,67,1,2,2,1,1,1,1,1,1
A38,19,female,5,5,5,2,5,2,sync,experimenter,positive,4,4,4,4,2,3,4,4,60,1,2,2,1,1,1,1,1,1
A38,19,female,5,5,5,2,5,2,sync,participant,negative,3,4,4,4,2,2,3,4,65,1,2,2,1,1,1,1,1,1
A38,19,female,5,5,5,2,5,2,sync,participant,positive,4,4,4,4,2,3,4,4,66,1,2,2,1,1,1,1,1,1
A38,19,female,5,5,5,2,5,2,unreal,participant,negative,3,4,4,4,3,3,5,4,85,1,2,2,1,1,1,1,1,1
A38,19,female,5,5,5,2,5,2,unreal,participant,positive,4,4,4,4,3,4,5,4,85,1,2,2,1,1,1,1,1,1
A4,22,female,5,5,4,4,1,2,sync,experimenter,negative,3,3,3,3,4,3,4,4,80,1,1,1,1,1,1,2,2,1
A4,22,female,5,5,4,4,1,2,sync,experimenter,positive,3,3,3,3,4,3,4,4,80,1,1,1,1,1,1,2,2,1
A4,22,female,5,5,4,4,1,2,sync,participant,negative,3,3,3,3,4,3,4,4,70,1,1,1,1,1,1,2,2,1
A4,22,female,5,5,4,4,1,2,sync,participant,positive,3,3,3,3,4,3,4,4,70,1,1,1,1,1,1,2,2,1
A4,22,female,5,5,4,4,1,2,unreal,participant,negative,4,4,4,4,5,4,4,4,85,1,1,1,1,1,1,2,2,1
A4,22,female,5,5,4,4,1,2,unreal,participant,positive,4,4,4,4,5,4,4,4,85,1,1,1,1,1,1,2,2,1
A47,29,female,5,5,5,1,1,1,sync,experimenter,negative,3,3,3,1,1,1,2,3,20,1,1,1,1,1,1,1,2,1
A47,29,female,5,5,5,1,1,1,sync,experimenter,positive,2,3,3,2,1,1,1,3,21,1,1,1,1,1,1,1,2,1
A47,29,female,5,5,5,1,1,1,sync,participant,negative,2,3,3,1,1,1,2,3,24,1,1,1,1,1,1,1,2,1
A47,29,female,5,5,5,1,1,1,sync,participant,positive,2,3,3,1,1,1,1,3,30,1,1,1,1,1,1,1,2,1
